-1.976,0.738,-0.507,1.193,-1.197,0.967,-1.659,0.904,0.058,-1.893,-1.327,-0.769,0.373,1.599,-0.128,1.470
-0.209,0.110,-0.076,0.173,-0.155,0.141,-0.206,0.152,-0.033,-0.202,-0.184,-0.150,0.090,0.148,-0.012,0.162
-0.230,0.122,-0.085,0.195,-0.174,0.160,-0.231,0.172,-0.041,-0.223,-0.208,-0.172,0.103,0.160,-0.016,0.179
-0.268,0.152,-0.105,0.233,-0.202,0.192,-0.271,0.209,-0.054,-0.257,-0.245,-0.210,0.126,0.181,-0.021,0.206
-0.299,0.171,-0.119,0.271,-0.234,0.225,-0.314,0.244,-0.072,-0.293,-0.287,-0.251,0.148,0.199,-0.029,0.233
-0.194,0.092,-0.062,0.135,-0.129,0.106,-0.167,0.113,-0.007,-0.178,-0.146,-0.105,0.062,0.149,-0.005,0.148
-0.284,0.163,-0.113,0.259,-0.223,0.216,-0.301,0.234,-0.071,-0.280,-0.275,-0.241,0.142,0.188,-0.028,0.221
-0.298,0.171,-0.118,0.268,-0.231,0.223,-0.311,0.242,-0.071,-0.291,-0.284,-0.248,0.147,0.198,-0.029,0.231
-0.232,0.118,-0.080,0.177,-0.163,0.142,-0.211,0.153,-0.024,-0.215,-0.189,-0.147,0.089,0.170,-0.010,0.179
-0.307,0.177,-0.123,0.281,-0.241,0.235,-0.325,0.254,-0.077,-0.302,-0.298,-0.262,0.155,0.203,-0.032,0.239
-0.327,0.191,-0.132,0.299,-0.257,0.250,-0.345,0.271,-0.083,-0.321,-0.317,-0.280,0.165,0.216,-0.034,0.255
-0.214,0.107,-0.074,0.170,-0.156,0.137,-0.204,0.146,-0.027,-0.203,-0.183,-0.143,0.086,0.156,-0.011,0.167
-0.199,0.096,-0.067,0.159,-0.147,0.128,-0.192,0.135,-0.025,-0.192,-0.172,-0.133,0.079,0.145,-0.010,0.157
-0.259,0.144,-0.100,0.226,-0.197,0.186,-0.263,0.202,-0.053,-0.251,-0.239,-0.203,0.122,0.176,-0.021,0.201
-0.186,0.084,-0.057,0.134,-0.129,0.106,-0.167,0.110,-0.010,-0.175,-0.147,-0.104,0.061,0.143,-0.006,0.146
-0.156,0.062,-0.041,0.093,-0.097,0.071,-0.125,0.072,0.009,-0.143,-0.105,-0.062,0.033,0.129,-0.002,0.121
-0.197,0.093,-0.062,0.134,-0.128,0.105,-0.167,0.112,-0.006,-0.178,-0.147,-0.105,0.061,0.152,-0.005,0.148
-0.331,0.201,-0.139,0.311,-0.261,0.262,-0.358,0.284,-0.091,-0.329,-0.327,-0.295,0.174,0.213,-0.038,0.256
-0.159,0.065,-0.046,0.113,-0.112,0.089,-0.145,0.091,-0.007,-0.153,-0.126,-0.086,0.049,0.124,-0.004,0.126
-0.168,0.075,-0.051,0.115,-0.112,0.090,-0.146,0.094,-0.003,-0.156,-0.126,-0.087,0.050,0.131,-0.003,0.129
-0.158,0.067,-0.046,0.109,-0.107,0.086,-0.140,0.088,-0.003,-0.150,-0.121,-0.082,0.047,0.125,-0.003,0.123
-0.227,0.119,-0.083,0.190,-0.171,0.155,-0.226,0.167,-0.038,-0.219,-0.204,-0.166,0.099,0.160,-0.015,0.177
